oa_id,oa_code,oa_desc,oa_short_desc,grade_code,subject_code,bloom_level,cog_skill,oa_version,semester,complexity_level,estimated_hours,ministerial_priority,is_transversal,enriched_at
209d54d3-8c2d-4e6b-8bbe-0f821234a858,MA01OA01,"Contar números del 0 al 100 de 1 en 1, de 2 en 2, de 5 en 5 y de 10 en 10,  hacia adelante y hacia atrás, empezando por cualquier número menor que 100.","Contar números del 0 al 100 de 1 en 1, de 2 en 2, de 5 en 5 y de 10 en 10,  hacia adelante y hacia a...",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:51:54.178083
7910df5f-2305-456f-a849-fcde810c48bc,MA01OA02,"Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).","Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al...",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:51:54.178083
cb79717f-4c2c-4759-8685-234f0df808a7,MA01OA03,"Leer números del 0 al 20 y representarlos en forma concreta, pictórica y simbólica.","Leer números del 0 al 20 y representarlos en forma concreta, pictórica y simbólica.",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:51:54.178083
aa291bde-e845-4082-ae3b-28da7fd0abd1,MA01OA04,"Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.","Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto ...",1B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T15:51:54.178083
aa4252f6-9f05-4e18-bbdb-772184e60ef9,MA01OA05,"Estimar cantidades hasta 20 en situaciones concretas, usando un referente.","Estimar cantidades hasta 20 en situaciones concretas, usando un referente.",1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:51:54.178083
0adc235e-8ab4-48a9-90e7-b91c8e524042,MA01OA06,"Componer y descomponer números del 0 a 20 de manera aditiva, en forma concreta, pictórica y simbólica.","Componer y descomponer números del 0 a 20 de manera aditiva, en forma concreta, pictórica y simbólic...",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:51:54.178083
71dd65f5-48c4-4063-8286-6bfd25b6422a,MA01OA07,Aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20,Aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20,1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:51:54.179174
d68738fd-5820-4db8-91e2-b6850c22314f,MA01OA08,"Determinar las unidades y decenas en números del 0 al 20, agrupando de a 10, de manera concreta, pictórica y simbólica.","Determinar las unidades y decenas en números del 0 al 20, agrupando de a 10, de manera concreta, pic...",1B,MAT,Analizar,mantener,2023,1,4,4,normal,False,2025-07-07T15:51:54.179174
34d3cbae-be0c-46e5-aef8-e3bd23a6b79b,MA01OA09,Demostrar que comprenden la adición y la sustracción de números del 0 al 20 progresivamente,Demostrar que comprenden la adición y la sustracción de números del 0 al 20 progresivamente,1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:51:54.179174
15a5d70e-5ce3-4551-af02-faee85216948,MA01OA10,"Demostrar que la adición y la sustracción son operaciones inversas, de manera concreta, pictórica y simbólica.","Demostrar que la adición y la sustracción son operaciones inversas, de manera concreta, pictórica y ...",1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:51:54.179174
