oa_id,oa_code,oa_desc,oa_short_desc,grade_code,subject_code,bloom_level,cog_skill,oa_version,semester,complexity_level,estimated_hours,ministerial_priority,is_transversal,created_at,enriched_at
a9a12856-c208-4d3d-8fd1-895c0c940325,MA01OA01,"Contar números del 0 al 100 de 1 en 1, de 2 en 2, de 5 en 5 y de 10 en 10,  hacia adelante y hacia atrás, empezando por cualquier número menor que 100.","Contar números del 0 al 100 de 1 en 1, de 2 en 2, de 5 en 5 y de 10 en 10,  hacia adelante y hacia a...",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:54:51.926515,2025-07-07T15:16:22.804247
984109c9-b750-4c0d-89cf-0542f726b080,MA01OA02,"Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).","Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al...",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:54:51.926515,2025-07-07T15:16:22.804247
0bb6e2ac-e0aa-4093-8cd0-7ada8e86f9e2,MA01OA03,"Leer números del 0 al 20 y representarlos en forma concreta, pictórica y simbólica.","Leer números del 0 al 20 y representarlos en forma concreta, pictórica y simbólica.",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:54:51.926515,2025-07-07T15:16:22.804247
9d650867-5686-46e4-8edc-c2fa794f1143,MA01OA04,"Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.","Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto ...",1B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T15:54:51.926515,2025-07-07T15:16:22.805251
192639bb-81e8-4a17-bdb7-39ef52e65dee,MA01OA05,"Estimar cantidades hasta 20 en situaciones concretas, usando un referente.","Estimar cantidades hasta 20 en situaciones concretas, usando un referente.",1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:54:51.926515,2025-07-07T15:16:22.805251
b5d9fa33-0282-4bd4-9924-949dea3855da,MA01OA06,"Componer y descomponer números del 0 a 20 de manera aditiva, en forma concreta, pictórica y simbólica.","Componer y descomponer números del 0 a 20 de manera aditiva, en forma concreta, pictórica y simbólic...",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:54:51.926515,2025-07-07T15:16:22.805251
96fe55fe-66d9-41c9-b7b9-0ae53b30245e,MA01OA07,Aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20,Aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20,1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:54:51.926515,2025-07-07T15:16:22.805251
4c476d75-3b10-45dd-85ed-32801e629a21,MA01OA08,"Determinar las unidades y decenas en números del 0 al 20, agrupando de a 10, de manera concreta, pictórica y simbólica.","Determinar las unidades y decenas en números del 0 al 20, agrupando de a 10, de manera concreta, pic...",1B,MAT,Analizar,mantener,2023,1,4,4,normal,False,2025-07-07T15:54:51.926515,2025-07-07T15:16:22.805251
fee4ba85-fa15-4ecf-9344-9342efd4faf9,MA01OA09,Demostrar que comprenden la adición y la sustracción de números del 0 al 20 progresivamente,Demostrar que comprenden la adición y la sustracción de números del 0 al 20 progresivamente,1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:54:51.926515,2025-07-07T15:16:22.805251
e0976403-fa8e-48a3-9c1c-adcf7b29f1c6,MA01OA10,"Demostrar que la adición y la sustracción son operaciones inversas, de manera concreta, pictórica y simbólica.","Demostrar que la adición y la sustracción son operaciones inversas, de manera concreta, pictórica y ...",1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:54:51.926515,2025-07-07T15:16:22.806416
